评价者,Variables,Measures - original,Measures - adapted (Chinese),Source Reference,备注
,T1,,,,
员工,"员工AI自我效能感
AI Self-Efficacy",,以下描述涉及您对自己在工作中使用AI的能力的感受。请根据自己当前的实际感受作答。（1=非常不符合，5=非常符合）,"Author, A. A. (2024). Article title. Journal, volume(issue), pages.","instruction row"
,,"I am confident in my ability to learn artificial intelligence technology appropriately in my work.",我有信心在工作中恰当地学习和使用AI技术。,,
员工,"员工感知的领导AI倡导
Leader AI Advocacy",,请基于您的直属领导的实际情况，评价以下描述与其行为的符合程度。（1=非常不符合，5=非常符合）,"Author, A. A. (2020). Article title. Journal, volume(issue), pages.","adapted from technology/green advocacy"
,,"Top managers encourage employees to develop and implement new technologies.",我的直属领导鼓励我们在工作中尝试和使用AI工具。,,
员工,"员工感知的领导AI知识水平
Leader AI Knowledge",,以下陈述涉及您对直属领导在AI方面知识水平的看法。请根据实际感受作答。（1=非常不符合，5=非常符合）,"Author, A. A. (1999). Article title. Journal, volume(issue), pages.","reverse-coded source item rewritten positively"
,,"I do not feel very knowledgeable about AI. (Reverse coded)",我认为我的直属领导掌握较多AI相关知识。,,Reverse-coded source item; Chinese item is positive-worded
,T2,,,,
员工,"员工AI印象管理
AI Impression Management",,以下陈述描述的是您在工作中向他人呈现AI使用情况的方式。请根据真实情况作答。（1=非常不同意，5=非常同意）,Self-developed,"self-developed instruction row"
,,,我会让他人觉得我在积极使用AI，即使我实际使用AI的程度并不高。,,Self-developed item; check social desirability and wording
,T3,,,,
领导,员工工作绩效,,请回想该员工自上次问卷以来的实际工作表现，并评价以下描述的符合程度。（1=完全不符合，5=完全符合）,"Author, A. A. (2009). Article title. Journal, volume(issue), pages.","leader-rated instruction row"
,,"This person always completes job assignments on time.",该员工总是能够按时完成工作任务。,,
